異動,藥品代號,藥品英文名稱,藥品中文名稱,成分,規格量,規格單位,單複方,支付價,有效起日,有效迄日,藥商,製造廠名稱,劑型,藥品分類,分類分組名稱,ATC代碼,給付規定章節,藥品代碼超連結,給付規定章節連結
Y,AA57802100,Roty F.C. Tablets 10mg,諾脂替膜衣錠10毫克,ROSUVASTATIN CALCIUM 10 MG,,,單方,23.50,1040601,1050331,中國化學製藥股份有限公司新豐工廠,中國化學製藥股份有限公司新豐工廠,膜衣錠,BA/BE學名藥,"ROSUVASTATIN , 一般錠劑膠囊劑 , 10.00 MG",C10AA07,2.6.1.,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01057802,https://info.nhi.gov.tw/api/INAE3000/INAE3000S01/getPDF?DurgFileName=2.6.1._20210329.pdf
,AA57802100,Roty F.C. Tablets 10mg,諾脂替膜衣錠10毫克,ROSUVASTATIN CALCIUM 10 MG,,,單方,22.30,1050401,1060331,中國化學製藥股份有限公司新豐工廠,中國化學製藥股份有限公司新豐工廠,膜衣錠,BA/BE學名藥,"ROSUVASTATIN , 一般錠劑膠囊劑 , 10.00 MG",C10AA07,2.6.1.,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01057802,https://info.nhi.gov.tw/api/INAE3000/INAE3000S01/getPDF?DurgFileName=2.6.1._20210329.pdf
,AA57802100,Roty F.C. Tablets 10mg,諾脂替膜衣錠10毫克,ROSUVASTATIN CALCIUM 10 MG,,,單方,20.20,1060401,1070430,中國化學製藥股份有限公司新豐工廠,中國化學製藥股份有限公司新豐工廠,膜衣錠,BA/BE學名藥,"ROSUVASTATIN , 一般錠劑膠囊劑 , 10.00 MG",C10AA07,2.6.1.,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01057802,https://info.nhi.gov.tw/api/INAE3000/INAE3000S01/getPDF?DurgFileName=2.6.1._20210329.pdf
,AA57802100,Roty F.C. Tablets 10mg,諾脂替膜衣錠10毫克,ROSUVASTATIN CALCIUM 10 MG,,,單方,17.60,1070501,1080331,中國化學製藥股份有限公司新豐工廠,中國化學製藥股份有限公司新豐工廠,膜衣錠,BA/BE學名藥,"ROSUVASTATIN , 一般錠劑膠囊劑 , 10.00 MG",C10AA07,2.6.1.,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01057802,https://info.nhi.gov.tw/api/INAE3000/INAE3000S01/getPDF?DurgFileName=2.6.1._20210329.pdf
,AA57802100,Roty F.C. Tablets 10mg,諾脂替膜衣錠10毫克,ROSUVASTATIN CALCIUM 10 MG,,,單方,15.80,1080401,1090930,中國化學製藥股份有限公司新豐工廠,中國化學製藥股份有限公司新豐工廠,膜衣錠,BA/BE學名藥,"ROSUVASTATIN , 一般錠劑膠囊劑 , 10.00 MG",C10AA07,2.6.1.,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01057802,https://info.nhi.gov.tw/api/INAE3000/INAE3000S01/getPDF?DurgFileName=2.6.1._20210329.pdf
,AA57802100,Roty F.C. Tablets 10mg,諾脂替膜衣錠10毫克,ROSUVASTATIN CALCIUM 10 MG,,,單方,14.60,1091001,1101231,中國化學製藥股份有限公司新豐工廠,中國化學製藥股份有限公司新豐工廠,膜衣錠,BA/BE學名藥,"ROSUVASTATIN , 一般錠劑膠囊劑 , 10.00 MG",C10AA07,2.6.1.,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01057802,https://info.nhi.gov.tw/api/INAE3000/INAE3000S01/getPDF?DurgFileName=2.6.1._20210329.pdf
,AA57802100,Roty F.C. Tablets 10mg,諾脂替膜衣錠10毫克,ROSUVASTATIN CALCIUM 10 MG,,,單方,13.40,1110101,1120331,中國化學製藥股份有限公司新豐工廠,中國化學製藥股份有限公司新豐工廠,膜衣錠,BA/BE學名藥,"ROSUVASTATIN , 一般錠劑膠囊劑 , 10.00 MG",C10AA07,2.6.1.,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01057802,https://info.nhi.gov.tw/api/INAE3000/INAE3000S01/getPDF?DurgFileName=2.6.1._20210329.pdf
,AA57802100,Roty F.C. Tablets 10mg,諾脂替膜衣錠10毫克,ROSUVASTATIN CALCIUM 10 MG,,,單方,11.50,1120401,1140331,中國化學製藥股份有限公司新豐工廠,中國化學製藥股份有限公司新豐工廠,膜衣錠,BA/BE學名藥,"ROSUVASTATIN , 一般錠劑膠囊劑 , 10.00 MG",C10AA07,2.6.1.,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01057802,https://info.nhi.gov.tw/api/INAE3000/INAE3000S01/getPDF?DurgFileName=2.6.1._20210329.pdf
,AA57802100,Roty F.C. Tablets 10mg,諾脂替膜衣錠10毫克,ROSUVASTATIN CALCIUM 10 MG,,,單方,10.30,1140401,1150331,中國化學製藥股份有限公司新豐工廠,中國化學製藥股份有限公司新豐工廠,膜衣錠,BA/BE學名藥,"ROSUVASTATIN , 一般錠劑膠囊劑 , 10.00 MG",C10AA07,2.6.1.,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01057802,https://info.nhi.gov.tw/api/INAE3000/INAE3000S01/getPDF?DurgFileName=2.6.1._20210329.pdf
,AA57802100,Roty F.C. Tablets 10mg,諾脂替膜衣錠10毫克,ROSUVASTATIN CALCIUM 10 MG,,,單方,9.20,1150401,9991231,中國化學製藥股份有限公司新豐工廠,中國化學製藥股份有限公司新豐工廠,膜衣錠,BA/BE學名藥,"ROSUVASTATIN , 一般錠劑膠囊劑 , 10.00 MG",C10AA07,2.6.1.,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01057802,https://info.nhi.gov.tw/api/INAE3000/INAE3000S01/getPDF?DurgFileName=2.6.1._20210329.pdf
