nhi_code,drug_name_en,trial_period_before_use
AC59251100,"Agitin tablets 10/20mg",3個月
AC60402100,"Sacure tablets 10/20mg",3個月
BC28502100,"Ezta-SM 10+20 (ezetimibe and simvastatin tablets 10mg/20mg)",3個月
AC62052100,"Zoliton tablets 10/20mg",3個月
AC62053100,"Zoliton tablets 10/10mg",3個月
AC62140100,"Zovastin tablets 10/10mg",3個月
AC62139100,"Zovastin tablets 10/20mg",3個月
BC28181100,"Cretrol Tab. 10/10 mg",3個月
BC28182100,"Cretrol Tab. 10/20 mg",3個月
BC28884100,"Livazebe combination tablets HD (for 4mg)",3個月
