ingredient_category,nhi_code,drug_name_en,table_classification
simvastatin,AC46402100,"Simvatin film coating tablets 20mg",表二
simvastatin,AB47348100,"Vatatin F.C. tablets 20mg ""STANDARD""",表二
simvastatin,BC24339100,"Simvahexal film-coated tablets 40mg",表二
simvastatin,AC49672100,"Simatin F.C. tablets 20mg",表二
simvastatin,AC49841100,"Simpotin F.C. tablets 20 mg ""Weidar""",表二
simvastatin,AC47924100,"Zostatin F.C. tablets 20 mg ""S.C.""",表二
simvastatin,BC23970100,"Simvahexal film-coated tablets 20mg",表二
simvastatin,AC49360100,"Bezostatin F.C. tablets 40 mg ""S.C.""",表二
simvastatin,AC48813100,"Simvatenin F.C. tablets 20mg (simvastatin)",表二
simvastatin,AC56804100,"Simvastatin F.C. tablets 20mg ""CYH""",表二
simvastatin,AC49699100,"Simatin F.C. tablets 10mg",表二
simvastatin,AC47907100,"Sinty F.C. tablets 20mg",表二
simvastatin,AC48926100,"Simva F.C. tablets 20 mg",表二
simvastatin,AC49190100,"Sivasin film coated tablets 40mg",表二
simvastatin,AC58207100,"Simvatin film coating tablets 40mg",表二
simvastatin,AC48608100,"Simva F.C. tablets 20mg ""Union""",表二
simvastatin,AC49997100,"Simatin F.C. tablets 40 mg",表二
simvastatin,A055967100,"Simva F.C. tablets 40mg ""Union""",表二
simvastatin,AC56806100,"Sinty F.C. tablets 40mg",表二
lovastatin,AC39403100,"Lozutin tablets 20mg (lovastatin)",表二
lovastatin,AC39307100,"Delipic tablets 20mg ""Standard"" (lovastatin)",表二
lovastatin,A042389100,"Lovatin tablets 20mg ""PANBIOTIC""",表二
pravastatin,BC23596100,"Mevalotin protect 40mg tablets",表二
pravastatin,AC52581100,"Joinlo tablets 40mg ""EVEREST""",表二
pravastatin,AB49454100,"Pratin tablets 40 mg (pravastatin sodium)",表二
pravastatin,AB48586100,"Pavatin protect tablets 20mg ""Standard"" (pravastatin sodium)",表二
pravastatin,AB48681100,"U-Chu Pavadin tablets 20 mg",表二
pravastatin,AB46029100,"Pratin tablets 10mg (pravastatin sodium)",表二
pravastatin,AB48644100,"Mechol tablets 20mg ""Yung Shin""",表二
pravastatin,AB49021100,"Pratin tablets 20 mg",表二
pravastatin,BC23597100,"Mevalotin protect 20mg tablets",表二
pravastatin,AC57126100,"Pavatin protect tablets 40mg ""Standard"" (pravastatin sodium)",表二
pravastatin,AC48469100,"Mechol tablets 10mg ""Yung Shin""",表二
pravastatin,AC57741100,"Joinlo tablet 20mg EVEREST",表二
fluvastatin,BC23556100,"Lescol XL film-coated tablets 80mg",表二
fluvastatin,BC26147100,"Fluvastatin XL film-coated tablets 80mg",表二
fluvastatin,AC56629100,"Lecitol XL film-coated Tablets 80mg",表二
atorvastatin,AC55272100,"Atorva film-coated tablets 10mg ""Standard"" (atorvastatin)",表二
atorvastatin,BA25337100,"Tulip 20mg film coated tablets",表二
atorvastatin,BA25200100,"Tulip 10mg film coated tablets",表二
atorvastatin,AC48879100,"Anxolipo F.C. tablet 10 mg",表二
atorvastatin,AC57267100,"Atotin F.C. tablets 10mg",表二
atorvastatin,AC51598100,"Atoty F.C. tablets 10 mg",表二
atorvastatin,AC58211100,"Atotin F.C. tablets 20mg",表二
atorvastatin,AC49226100,"Anxolightor F.C. tablets 20 mg",表二
atorvastatin,AC58517100,"Atoroty F.C. tablets 20mg",表二
atorvastatin,AC57805100,"Atorva F.C. tab. 20mg ""Standard"" (atorvastatin)",表二
atorvastatin,AA49543100,"Atorin F.C. tablet 10mg",表二
atorvastatin,BA25201100,"Tulip 40mg film coated tablets",表二
atorvastatin,AA57774100,"Atover F.C. Tab. 10mg P.L.",表二
atorvastatin,AC52530100,"Atorin F.C. tablets 20mg",表二
atorvastatin,AC55583100,"Atorcal F.C. tablets 20mg ""S.C.""",表二
atorvastatin,AC55895100,"Atorcal F.C. tablets 10mg ""S.C.""",表二
atorvastatin,AA57950100,"Atover F.C. tablets 20mg P.L.",表二
atorvastatin,AC55268100,"Atorva film-coated tablets 40mg ""Standard""(atorvastatin)",表二
atorvastatin,AC55952100,"Atoty F.C. tablets 20 mg",表二
atorvastatin,AA56739100,"Anxolipo F.C. tablets 20mg",表二
atorvastatin,AC55956100,"Lipiminus F.C. tablets 20mg",表二
atorvastatin,AB54967100,"Atover F.C. tablets 40 mg ""P.L.""",表二
